Time (s),Voltage (V),Current (UA)
1.730327844619751, 0.001,4.44178e-06
3.409008026123047, 0.002,6.27939e-06
4.907404184341431, 0.003,6.97359e-06
6.397369146347046, 0.004,4.56996e-06
7.879009008407593, 0.005,5.07951e-06
9.37332797050476, 0.006,9.27571e-06
10.87765121459961, 0.007,4.61861e-06
12.363669157028198, 0.008,2.8738e-07
13.847565174102783, 0.009000000000000001,3.91123e-06
15.327556610107422, 0.010000000000000002,5.65114e-06
